userId,donation_g_international,donation_e_health,donation_c_education,donation_d_environment,donation_f_human,donation_a_pets,donation_b_art,donation_i_veteran,donation_h_faith
62dee2f5d1827047a2042395,0,2,5,0,3,2,0,5,0
62dee4a6d1827047a204239c,0,1,1,0,1,1,1,1,1
62def0f9d1827047a20423b1,5,5,0,5,5,5,5,0,5
62def631d1827047a20423b9,4,1,2,7,2,2,5,9,3
62df8d7e6181cc219f31a139,4,2,6,5,2,3,3,5,5
62df8dc011c9173f22099e8a,6,2,2,3,10,5,3,2,2
62df8ebf11c9173f22099e98,1,0,1,1,1,0,0,1,0
62df8f3d6181cc219f31a149,2,1,5,1,1,10,2,2,1
62df8f3f11c9173f22099ea3,3,7,0,0,4,4,8,3,6
62df8fd56181cc219f31a156,5,1,1,2,5,1,5,10,5
62df906d6181cc219f31a15d,1,1,2,2,2,5,2,1,1
62df911911c9173f22099eb7,2,2,10,8,5,2,2,1,3
62df91d611c9173f22099ec1,4,7,8,2,2,3,3,2,4
62df92636181cc219f31a174,2,2,1,3,6,6,10,6,1
62df958311c9173f22099eff,2,5,5,5,2,10,0,5,1
62df95896181cc219f31a1b4,2,7,1,7,2,3,1,5,7
62df958d11c9173f22099f02,0,10,0,10,10,0,5,0,0
62df95f06181cc219f31a1bd,5,8,1,5,1,2,3,1,9
62df96ad6181cc219f31a1c9,5,5,5,1,4,5,4,2,5
62df999c6181cc219f31a1e7,5,2,5,5,1,5,5,5,2
62df99bc6181cc219f31a1ee,3,2,3,6,2,4,2,2,2
62df99ff11c9173f22099f46,1,1,2,1,2,1,2,2,1
62df9a0911c9173f22099f48,0,24,0,0,0,0,0,0,11
62df9a766181cc219f31a1f7,3,5,2,2,5,5,2,1,10
62df9abb11c9173f22099f56,2,2,5,2,2,10,5,5,2
62df9c8a6181cc219f31a211,1,1,2,5,5,6,5,5,5
62df9dcc11c9173f22099f91,5,2,6,2,4,5,3,2,6
62df9df16181cc219f31a228,2,1,2,1,3,5,3,1,1
62df9e8d11c9173f22099f9c,0,0,20,5,0,10,0,0,0
62df9edc6181cc219f31a237,1,1,1,1,1,1,1,1,1
62df9f056181cc219f31a23b,1,1,1,1,1,1,1,1,1
62df9faf11c9173f22099fb5,2,2,1,2,4,3,3,4,2
62dfa0e06181cc219f31a25e,5,5,5,5,2,1,5,2,5
62dfa12f6181cc219f31a25f,3,10,5,1,0,5,0,6,5
62dfa36f6181cc219f31a275,10,10,10,0,0,0,0,0,5
62dfa98911c9173f22099ff4,5,2,0,4,3,5,5,5,6
62dfab176181cc219f31a28d,2,5,5,5,5,2,2,5,4
62dfaf836181cc219f31a2a4,2,4,3,2,3,4,4,2,2
62dfb01811c9173f2209a00e,5,1,2,5,5,5,5,2,5
62dfb18d11c9173f2209a012,0,0,0,0,0,15,0,10,10
62dfb48e6181cc219f31a2bb,4,2,2,5,5,5,3,3,6
62dfb4ca11c9173f2209a01e,5,2,3,3,5,5,5,5,2
62dfbc1f6181cc219f31a2cc,5,5,0,5,5,5,0,5,5
62dfbe676181cc219f31a2d2,7,5,5,2,3,5,2,3,3
62e03951bbe3abcacefedf38,0,0,0,0,0,0,0,0,0
62e039991619d98e694304e3,0,0,0,0,5,15,0,10,5
62e03abb1619d98e694304ec,0,0,0,0,0,0,0,0,0
