userId,pets,art,education,environment,health,human,international,faith,veteran,order
62dee2f5d1827047a2042395,11,5,22,7,6,2,0,0,1,first
62dee4a6d1827047a204239c,5,5,8,6,13,4,2,-10,1,first
62def0f9d1827047a20423b1,14,9,5,5,7,7,2,5,0,first
62def631d1827047a20423b9,14,9,9,7,12,3,0,0,0,first
62df8d7e6181cc219f31a139,17,9,15,5,4,3,1,0,0,first
62df8dc011c9173f22099e8a,6,8,5,5,7,7,4,9,3,first
62df8ebf11c9173f22099e98,6,6,6,6,6,6,6,6,6,increase
62df8f3d6181cc219f31a149,2,2,4,2,5,3,-1,3,1,first
62df8f3f11c9173f22099ea3,0,0,0,0,0,3,0,3,3,first
62df8fd56181cc219f31a156,3,4,12,4,7,0,7,7,10,increase
62df906d6181cc219f31a15d,4,11,10,6,5,8,4,1,1,increase
62df911911c9173f22099eb7,4,2,11,9,11,8,3,3,3,decrease
62df91d611c9173f22099ec1,4,-4,6,3,10,4,-4,12,-5,increase
62df92636181cc219f31a174,14,18,22,0,0,0,0,0,0,first
62df958311c9173f22099eff,3,2,2,12,18,4,5,6,2,first
62df95896181cc219f31a1b4,9,8,6,4,5,7,5,6,4,first
62df958d11c9173f22099f02,1,10,15,16,7,2,0,1,2,decrease
62df95f06181cc219f31a1bd,13,7,7,6,3,3,4,4,7,decrease
62df96ad6181cc219f31a1c9,15,14,16,9,0,0,0,0,0,decrease
62df999c6181cc219f31a1e7,3,0,5,4,3,6,8,13,12,first
62df99bc6181cc219f31a1ee,9,-5,6,-6,6,4,7,7,4,first
62df99ff11c9173f22099f46,3,7,11,9,8,6,5,1,4,increase
62df9a0911c9173f22099f48,15,10,22,2,3,1,1,0,0,increase
62df9a766181cc219f31a1f7,0,0,0,0,0,0,16,24,14,increase
62df9abb11c9173f22099f56,2,2,12,16,12,4,2,2,2,decrease
62df9c8a6181cc219f31a211,0,0,8,7,10,19,6,4,0,first
62df9dcc11c9173f22099f91,25,6,10,8,2,3,0,0,0,first
62df9df16181cc219f31a228,4,2,1,1,2,-1,-2,-1,1,decrease
62df9e8d11c9173f22099f9c,0,0,0,0,0,0,0,0,0,increase
62df9edc6181cc219f31a237,4,4,4,4,4,0,0,0,0,first
62df9f056181cc219f31a23b,0,0,0,0,0,0,0,0,0,first
62df9faf11c9173f22099fb5,5,5,6,8,8,4,2,-5,11,increase
62dfa0e06181cc219f31a25e,0,0,0,11,6,7,9,8,13,first
62dfa12f6181cc219f31a25f,1,-1,2,1,-1,1,1,1,1,first
62dfa36f6181cc219f31a275,5,4,9,4,8,5,6,6,7,first
62dfa98911c9173f22099ff4,0,0,0,0,0,0,0,0,0,decrease
62dfab176181cc219f31a28d,4,4,5,4,2,-3,-3,-3,3,decrease
62dfaf836181cc219f31a2a4,5,8,-2,12,-2,8,7,5,5,increase
62dfb01811c9173f2209a00e,2,3,4,3,4,3,-3,-2,3,increase
62dfb18d11c9173f2209a012,5,8,5,6,17,13,0,0,0,decrease
62dfb48e6181cc219f31a2bb,0,0,0,0,0,0,0,0,0,increase
62dfb4ca11c9173f2209a01e,0,11,11,10,12,2,8,0,0,increase
62dfbc1f6181cc219f31a2cc,0,6,5,11,0,5,26,1,0,first
62dfbe676181cc219f31a2d2,3,3,7,8,8,7,8,4,6,first
62e03951bbe3abcacefedf38,10,0,10,0,9,3,2,0,20,decrease
62e039991619d98e694304e3,2,7,7,5,4,3,2,2,1,decrease
62e03abb1619d98e694304ec,6,6,6,6,6,6,6,6,6,increase
62e03bcfbbe3abcacefedf4f,0,1,2,3,1,2,-1,0,2,first
