userId,pets,art,education,environment,health,human,international,faith,veteran,order
62ded8f8ff378df9a0d3080c,4,3,6,3,2,0,0,0,0,first
62dedc47d1827047a2042384,2,2,3,3,2,3,1,1,1,first
62dedd20d1827047a2042386,0,1,2,6,3,5,1,0,0,decrease
62dee339ff378df9a0d3081b,2,3,8,1,2,1,0,1,0,decrease
62dee4a6d1827047a204239c,1,1,4,5,4,1,0,-1,1,decrease
62def631d1827047a20423b9,5,3,2,2,1,2,1,1,1,decrease
62df8dc011c9173f22099e8a,2,0,0,3,4,0,3,3,3,decrease
62df8eac11c9173f22099e97,6,1,2,0,4,1,0,0,0,first
62df8ebf11c9173f22099e98,1,1,1,1,0,6,4,3,1,first
62df8ec16181cc219f31a143,3,3,3,2,3,1,2,1,0,decrease
62df8f3d6181cc219f31a149,1,1,1,1,3,2,1,2,2,decrease
62df8f3f11c9173f22099ea3,0,0,0,0,4,3,3,0,0,decrease
62df8fd56181cc219f31a156,0,0,3,3,4,4,1,1,2,first
62df906d6181cc219f31a15d,1,1,3,2,2,2,2,1,0,first
62df91756181cc219f31a165,3,2,3,4,3,0,1,1,1,first
62df91d611c9173f22099ec1,4,0,3,-2,2,2,0,0,0,first
62df920c11c9173f22099ec5,2,0,1,3,0,4,4,2,2,first
62df92a811c9173f22099ecf,0,0,3,0,2,0,0,0,-2,first
62df93e911c9173f22099ee4,0,0,0,0,0,0,0,0,0,decrease
62df94e56181cc219f31a1a6,1,1,7,3,2,1,1,1,1,decrease
62df958311c9173f22099eff,0,2,6,3,3,2,1,1,0,decrease
62df95896181cc219f31a1b4,3,3,2,3,2,2,1,1,1,decrease
62df96716181cc219f31a1c6,0,0,0,0,0,0,0,0,0,decrease
62df97a611c9173f22099f21,0,0,2,0,2,5,9,0,0,decrease
62df99bc6181cc219f31a1ee,1,2,2,2,2,3,2,2,-2,decrease
62df99ff11c9173f22099f46,2,3,3,3,2,2,1,1,1,first
62df9a0911c9173f22099f48,3,-2,2,4,2,4,-1,0,0,first
62df9a6011c9173f22099f4f,4,-2,2,0,4,-1,2,-2,1,decrease
62df9a766181cc219f31a1f7,6,4,6,2,0,0,0,0,0,first
62df9ae011c9173f22099f58,1,1,1,1,1,1,1,1,1,decrease
62df9b9711c9173f22099f61,2,4,3,2,2,0,0,3,2,first
62df9dcc11c9173f22099f91,11,7,0,0,0,0,0,0,0,decrease
62df9e8d11c9173f22099f9c,1,3,3,1,2,2,2,3,1,first
62df9ed26181cc219f31a236,2,2,-2,2,2,-2,2,2,2,first
62df9faf11c9173f22099fb5,8,4,3,-2,1,0,0,0,0,first
62dfa0e06181cc219f31a25e,0,0,0,0,0,0,14,4,0,decrease
62dfa1f111c9173f22099fcb,0,5,4,6,3,0,0,0,0,first
62dfa22f6181cc219f31a267,0,0,0,9,5,2,0,0,0,first
62dfa34a11c9173f22099fdf,0,0,0,0,5,0,5,4,4,decrease
62dfa36f6181cc219f31a275,3,2,4,3,1,1,1,2,1,decrease
62dfa66c11c9173f22099fee,1,1,4,5,4,1,1,1,0,decrease
62dfaf836181cc219f31a2a4,4,-4,3,-2,4,1,0,0,0,first
62dfb01811c9173f2209a00e,5,1,2,3,1,-2,-2,-2,0,first
62dfb23f6181cc219f31a2b6,1,2,4,3,1,2,2,2,1,first
62dfb48e6181cc219f31a2bb,3,4,2,4,1,4,0,0,0,first
62dfb4ca11c9173f2209a01e,0,0,0,7,4,7,0,0,0,first
62e039fb1619d98e694304e7,0,0,0,5,8,5,0,0,0,decrease
62e03abb1619d98e694304ec,2,2,2,2,2,2,2,2,2,first
62e03bfebbe3abcacefedf54,2,2,4,2,3,2,1,1,1,decrease
62e03c921619d98e694304ff,6,0,0,8,0,0,0,0,0,decrease
62e03d24bbe3abcacefedf61,1,1,4,1,2,2,1,1,5,decrease
62e03e16bbe3abcacefedf6b,1,2,9,4,0,2,0,0,0,first
62e03f5c1619d98e69430528,3,1,4,3,2,0,5,0,0,decrease
62e046a8bbe3abcacefedfd6,2,2,1,2,3,2,0,0,1,decrease
62e047aa1619d98e6943059f,4,4,6,4,0,0,0,0,0,first
62e047ee1619d98e694305a6,1,-2,6,1,2,2,-2,-1,1,first
62e0481e1619d98e694305a9,2,1,4,2,5,1,2,0,1,decrease
62e0493e1619d98e694305b5,2,2,4,2,4,2,1,0,1,first
62e049d4bbe3abcacefee000,2,1,0,2,2,0,2,0,2,first
62e04a29bbe3abcacefee007,1,2,0,5,5,0,-5,0,0,first
62e050db1619d98e69430603,0,0,2,3,3,4,1,3,2,first
