_id,pets,art,education,environment,health,human,international,faith,veteran,userId,time,completed,order
5e62ccb26ffda4487364f759,2,1,2,2,2,-8,-4,2,2,5e62c99c6ffda4487364f757,20:34.1,5e62c99c6ffda4487364f757,decrease
5e62d6c9ef25df51135385be,4,0,4,1,6,3,0,4,3,5e62d3746ffda4487364f760,03:37.4,5e62d3746ffda4487364f760,first
5e636639169182538ed7dc65,3,3,5,5,3,3,1,0,4,5e6363eaab9c7a51ed5b57e2,15:37.8,5e6363eaab9c7a51ed5b57e2,first
5e63ff8304f53cb40efd2cdd,3,2,5,2,2,5,2,3,2,5e63fde404f53cb40efd2cdb,09:39.9,5e63fde404f53cb40efd2cdb,increase
5e641183ae7e33fbc93cdd12,2,3,3,2,4,8,1,0,0,5e640f66ae7e33fbc93cdd0b,26:27.5,5e640f66ae7e33fbc93cdd0b,first
5e64123f789957f84988d13e,2,3,2,5,5,6,1,-1,1,5e641122789957f84988d131,29:35.6,5e641122789957f84988d131,first
5e642ace227b657a749950e8,4,0,5,3,5,5,0,0,0,5e642789227b657a749950e5,14:22.7,5e642789227b657a749950e5,decrease
5e64b173a178bbb7c3b63321,4,2,4,3,5,5,0,0,0,5e64adba54fc700d6d481f58,48:51.4,5e64adba54fc700d6d481f58,first
5e64b46ba178bbb7c3b63324,3,1,2,5,6,3,1,-2,3,5e64b02354fc700d6d481f59,01:31.7,5e64b02354fc700d6d481f59,first
5e6503ff9472cb582b7b95d5,1,2,5,6,6,2,1,0,0,5e6501599472cb582b7b95d2,41:03.7,5e6501599472cb582b7b95d2,first
5e6534f85e86b96e9cad5931,1,2,5,1,7,3,0,-3,3,5e65325e5e86b96e9cad5930,10:00.2,5e65325e5e86b96e9cad5930,first
5e653aef5e86b96e9cad5936,0,0,5,4,5,5,0,0,3,5e653707b07dd22d67cbf0f5,35:27.1,5e653707b07dd22d67cbf0f5,increase
5e65482897615b6f9eb23707,2,3,4,6,5,4,0,0,1,5e65458097615b6f9eb23702,31:52.4,5e65458097615b6f9eb23702,decrease
5e65663ad7a1ad88f0ff1985,0,0,4,8,0,5,0,0,0,5e65639b582f43ea63a7c621,40:10.6,5e65639b582f43ea63a7c621,decrease
5e6577c3d7a1ad88f0ff1996,-2,-2,4,-3,3,5,4,-3,4,5e65743dd7a1ad88f0ff1990,54:59.5,5e65743dd7a1ad88f0ff1990,decrease
5e6586a4589199f402cad4d7,1,2,2,3,9,3,0,0,0,5e658375fe502a94cd3068aa,58:28.7,5e658375fe502a94cd3068aa,first
5e658c9bfe502a94cd3068b5,7,3,4,3,5,0,0,0,0,5e6588e6fe502a94cd3068b4,23:55.9,5e6588e6fe502a94cd3068b4,decrease
5e6593d4589199f402cad4e0,-1,-2,-4,-5,-7,-3,0,0,-2,5e658f89589199f402cad4de,54:44.9,5e658f89589199f402cad4de,first
5e663f39eaa71621a7de9990,2,3,3,5,5,2,3,-2,4,5e663c7f4e03dda6b1aa364d,06:01.7,5e663c7f4e03dda6b1aa364d,first
5e66461d4e03dda6b1aa3658,2,0,0,0,10,2,0,0,0,5e6643734e03dda6b1aa3654,35:25.2,5e6643734e03dda6b1aa3654,increase
5e664fe14e03dda6b1aa3663,3,3,3,3,3,3,3,3,3,5e664d92eaa71621a7de9996,17:05.4,5e664d92eaa71621a7de9996,increase
5e665792eaa71621a7de99aa,2,4,4,4,5,4,3,-1,2,5e66536aeaa71621a7de99a5,49:54.6,5e66536aeaa71621a7de99a5,increase
5e666acac1f03bc722af84b2,4,0,1,8,1,0,1,0,5,5e666936675e2c44e37e78a2,11:54.4,5e666936675e2c44e37e78a2,first
5e66960864d96d0f05e1fee4,1,2,4,3,6,5,3,2,2,5e66931f64d96d0f05e1fee1,16:24.9,5e66931f64d96d0f05e1fee1,increase
5e679a4fcf42b30c2a2a92af,3,3,4,4,5,4,4,0,0,5e67984fd7fac4629a2d3a50,46:55.8,5e67984fd7fac4629a2d3a50,first
5e679b9dd7fac4629a2d3a5e,3,2,4,4,5,4,1,-1,3,5e6798e0d7fac4629a2d3a52,52:29.3,5e6798e0d7fac4629a2d3a52,decrease
5e67b0627f779368149a9657,4,3,4,1,4,4,0,3,3,5e67ada47f779368149a9652,21:06.7,5e67ada47f779368149a9652,first
5e67b32ff90aea52eba48e15,1,2,3,7,3,3,3,-3,3,5e67adc87f779368149a9653,33:03.9,5e67adc87f779368149a9653,decrease
5e67dc19d8c74da9522a3966,-1,-1,-1,-1,3,1,1,3,9,5e67da8401cfd97a4a60f999,27:37.4,5e67da8401cfd97a4a60f999,first
5e68132da5ec673284bf2fc3,6,3,1,6,2,3,3,2,0,5e680f034cb6e4474b63ab4f,22:37.3,5e680f034cb6e4474b63ab4f,first
5e682308a5ec673284bf2fd3,0,3,3,5,5,5,3,0,2,5e681fefa5ec673284bf2fd1,30:16.5,5e681fefa5ec673284bf2fd1,decrease
5e68346a45f62f90eca9b0bb,3,3,4,4,5,4,2,2,3,5e68316945f62f90eca9b0ba,44:26.7,5e68316945f62f90eca9b0ba,increase
5e6839f797370349abe9e4ef,0,0,8,2,2,6,0,0,0,5e6836f197370349abe9e4eb,08:07.7,5e6836f197370349abe9e4eb,first
5e683ea345f62f90eca9b0c6,5,2,3,3,6,3,0,-3,2,5e68386f45f62f90eca9b0be,28:03.5,5e68386f45f62f90eca9b0be,first
5e6841bd45f62f90eca9b0cb,4,4,2,4,1,1,0,2,1,5e683f2197370349abe9e4f3,41:17.4,5e683f2197370349abe9e4f3,increase
5e6849e245f62f90eca9b0d3,3,2,4,4,5,4,1,-2,4,5e6847ac97370349abe9e4f7,16:02.0,5e6847ac97370349abe9e4f7,first
5e684c7f97370349abe9e509,1,1,6,5,5,4,0,0,2,5e684a7d45f62f90eca9b0d9,27:11.6,5e684a7d45f62f90eca9b0d9,increase
5e684de797370349abe9e510,5,0,2,5,7,0,1,0,0,5e684c0297370349abe9e504,33:11.1,5e684c0297370349abe9e504,first
5e6958970a4c4141ce2a4427,1,0,4,0,0,4,0,3,6,5e68611c45f62f90eca9b0f4,31:03.1,5e68611c45f62f90eca9b0f4,first
5e688b0545f62f90eca9b114,0,0,3,0,7,3,-1,-1,2,5e6886ca45f62f90eca9b10b,53:57.4,5e6886ca45f62f90eca9b10b,decrease
5e689a5197370349abe9e556,2,2,5,3,6,3,2,1,4,5e68970d97370349abe9e54d,59:13.7,5e68970d97370349abe9e54d,first
5e689a2897370349abe9e555,2,2,5,6,4,0,3,-2,3,5e68978e45f62f90eca9b11c,58:33.0,5e68978e45f62f90eca9b11c,first
5e68c09e45f62f90eca9b149,6,0,2,0,5,4,0,0,5,5e68bdd045f62f90eca9b145,42:38.2,5e68bdd045f62f90eca9b145,increase
5e68d32e45f62f90eca9b163,2,2,4,2,4,5,1,1,4,5e68cfdc97370349abe9e593,01:50.8,5e68cfdc97370349abe9e593,decrease
5e68da4c97370349abe9e5a3,1,3,5,5,5,3,1,0,2,5e68d7bf45f62f90eca9b169,32:12.3,5e68d7bf45f62f90eca9b169,first
5e68ee8645f62f90eca9b185,2,3,3,4,4,4,1,4,4,5e68e8cc97370349abe9e5b6,58:30.4,5e68e8cc97370349abe9e5b6,decrease
5e69166345f62f90eca9b1b5,5,1,2,4,0,3,1,4,6,5e6912b497370349abe9e5e3,48:35.6,5e6912b497370349abe9e5e3,decrease
5e6916e697370349abe9e5ee,4,3,4,4,4,5,0,0,0,5e69140a97370349abe9e5e6,50:46.9,5e69140a97370349abe9e5e6,first
5e695b537f3f6b78b44bd2b7,3,2,3,5,6,3,1,-2,3,5e6957767f3f6b78b44bd2ae,42:43.3,5e6957767f3f6b78b44bd2ae,first
5e6975cf7f3f6b78b44bd2ca,2,1,4,3,3,3,7,1,3,5e6974d17f3f6b78b44bd2c7,35:43.5,5e6974d17f3f6b78b44bd2c7,first
5e69b7395b4cc647876e37ef,0,0,3,1,3,9,0,-2,-2,5e69b09f0f4ac1a30c21d5eb,14:49.9,5e69b09f0f4ac1a30c21d5eb,increase
5e69bc4a5b4cc647876e37f5,1,2,1,5,8,2,2,1,1,5e69b9d65b4cc647876e37f0,36:26.4,5e69b9d65b4cc647876e37f0,increase
