_id,pets,art,education,environment,health,human,international,faith,veteran,userId,time,completed,order
5e69d4e15b4cc647876e381d,0,0,0,0,10,8,-5,0,11,5e69d1455b4cc647876e3811,21:21.9,5e69d1455b4cc647876e3811,first
5e69fe495b4cc647876e384d,12,3,1,9,6,0,0,3,2,5e69fc105b4cc647876e3846,18:01.2,5e69fc105b4cc647876e3846,first
5e69ffde5b4cc647876e3852,5,5,8,9,8,6,3,3,1,5e69fc600f4ac1a30c21d63e,24:46.9,5e69fc600f4ac1a30c21d63e,first
5e6a08bc5b4cc647876e385f,1,1,10,2,10,1,1,4,10,5e6a04815b4cc647876e385a,02:37.0,5e6a04815b4cc647876e385a,first
5e6a30dc6e8059d110243a0f,5,4,7,6,8,8,4,6,4,5e6a2e326e8059d110243a0d,53:48.5,5e6a2e326e8059d110243a0d,increase
5e6a6cfd24a351b3373d8097,0,2,7,0,6,5,0,3,11,5e6a69e624a351b3373d8094,10:21.6,5e6a69e624a351b3373d8094,increase
5e6a786424a351b3373d80a4,3,5,8,8,9,7,4,-3,2,5e6a75f424a351b3373d809f,07:51.3,5e6a75f424a351b3373d809f,first
5e6a7a779669a5e668ccf7d5,6,4,9,6,9,5,3,2,6,5e6a76d09669a5e668ccf7ce,59:00.3,5e6a76d09669a5e668ccf7ce,first
5e6a80729669a5e668ccf7dc,5,2,-2,4,14,-3,-3,0,7,5e6a7e739669a5e668ccf7da,33:22.4,5e6a7e739669a5e668ccf7da,first
5e6a8af79669a5e668ccf7ec,10,9,4,10,5,1,0,0,1,5e6a875824a351b3373d80b3,18:15.7,5e6a875824a351b3373d80b3,first
5e6a9b6d24a351b3373d80cd,0,0,4,8,15,3,3,0,0,5e6a98329669a5e668ccf7fd,28:29.9,5e6a98329669a5e668ccf7fd,increase
5e6a9cae9669a5e668ccf808,5,5,8,5,8,8,4,4,5,5e6a99c39669a5e668ccf7ff,33:50.4,5e6a99c39669a5e668ccf7ff,increase
5e6ab3d59669a5e668ccf81b,3,3,8,11,8,4,2,-4,3,5e6ab03024a351b3373d80df,12:37.6,5e6ab03024a351b3373d80df,increase
5e6ad9629669a5e668ccf849,4,2,6,7,8,6,0,4,10,5e6ad6f524a351b3373d80fb,52:50.3,5e6ad6f524a351b3373d80fb,first
5e6ad9cd9669a5e668ccf84d,0,0,0,3,8,9,7,9,6,5e6ad7e424a351b3373d80fd,54:37.2,5e6ad7e424a351b3373d80fd,first
5e6adc4b24a351b3373d810f,12,9,-5,-6,5,0,0,0,0,5e6ad97e24a351b3373d8104,05:15.9,5e6ad97e24a351b3373d8104,increase
5e6aeb3824a351b3373d8119,8,0,0,10,10,0,-4,0,6,5e6ae5a19669a5e668ccf85a,08:56.3,5e6ae5a19669a5e668ccf85a,increase
5e6af9df24a351b3373d812b,6,7,7,6,6,6,5,0,7,5e6af6be24a351b3373d8122,11:27.4,5e6af6be24a351b3373d8122,increase
5e6aff0224a351b3373d8132,4,4,10,5,8,7,5,0,5,5e6afb5d24a351b3373d812e,33:22.8,5e6afb5d24a351b3373d812e,increase
5e6b2d779669a5e668ccf89a,3,3,4,5,1,1,2,2,2,5e6b28d59669a5e668ccf892,51:35.9,5e6b28d59669a5e668ccf892,first
5e6bafbae7fba54c8c42aab1,6,1,6,6,6,6,5,-6,4,5e6bad49e7fba54c8c42aaa4,07:22.5,5e6bad49e7fba54c8c42aaa4,increase
5e6bb0bd5f87134bc6854de4,8,4,5,8,5,7,6,3,6,5e6badd65f87134bc6854dce,15:10.2,5e6badd65f87134bc6854dce,increase
5e6bb18ee7fba54c8c42aac0,1,1,1,1,2,0,2,6,3,5e6bae1be7fba54c8c42aaa8,11:41.4,5e6bae1be7fba54c8c42aaa8,first
5e6bb527e7fba54c8c42aad6,3,1,12,6,5,2,-1,-9,4,5e6bb2505f87134bc6854df2,30:31.5,5e6bb2505f87134bc6854df2,first
5e6bb791e7fba54c8c42aaea,0,0,0,0,13,11,0,0,5,5e6bb2b65f87134bc6854df6,44:19.4,5e6bb2b65f87134bc6854df6,increase
5e6bb863e7fba54c8c42aaf0,4,5,6,6,6,5,5,-6,9,5e6bb47d5f87134bc6854dfb,40:49.2,5e6bb47d5f87134bc6854dfb,increase
5e6bb9905f87134bc6854e1c,0,0,5,5,6,6,6,0,7,5e6bb5d25f87134bc6854e03,50:34.1,5e6bb5d25f87134bc6854e03,first
5e6bb9da5f87134bc6854e1f,10,0,10,7,5,5,0,0,5,5e6bb62ae7fba54c8c42aae2,49:20.9,5e6bb62ae7fba54c8c42aae2,first
5e6bc0a85f87134bc6854e49,13,1,1,6,10,3,0,2,2,5e6bbf4d5f87134bc6854e3f,19:36.6,5e6bbf4d5f87134bc6854e3f,first
5e6bc3b35f87134bc6854e5a,3,6,8,8,8,7,3,-4,3,5e6bc0cf5f87134bc6854e4b,38:27.7,5e6bc0cf5f87134bc6854e4b,increase
5e6bc513e7fba54c8c42ab32,4,0,6,5,5,5,0,0,7,5e6bc1ac5f87134bc6854e53,32:35.8,5e6bc1ac5f87134bc6854e53,increase
5e6bce08e7fba54c8c42ab50,6,2,2,6,3,3,3,-5,2,5e6bc9dd5f87134bc6854e75,16:40.2,5e6bc9dd5f87134bc6854e75,increase
