,userId,condition,order,topic_1,topic_1_val_vote,topic_2,topic_2_val_vote,vote_diff,vote_diff_norm,vote_diff_ordinal,topic_1_val_donation,topic_2_val_donation,donation_diff,total_spent,donation_diff_norm,condition_id
8536,5e6ab03024a351b3373d80df,qv36_c,first,pets,2,art,2,0.0,0.0,,2,1,1,8,0.125,9
8537,5e6ad97e24a351b3373d8104,qv36_c,first,pets,3,art,2,5.0,0.13888888888888884,,10,0,10,35,0.2857142857142858,9
8538,5e6ae5a19669a5e668ccf85a,qv36_c,first,pets,3,art,1,8.0,0.22222222222222232,,5,0,5,10,0.5,9
8539,5e6b28d59669a5e668ccf892,qv36_c,decrease,pets,3,art,1,8.0,0.22222222222222232,,5,0,5,29,0.17241379310344818,9
8540,5e6bad49e7fba54c8c42aaa4,qv36_c,first,pets,1,art,0,1.0,0.02777777777777768,,1,0,1,6,0.16666666666666674,9
8541,5e6bae475f87134bc6854dd0,qv36_c,first,pets,1,art,1,0.0,0.0,,0,0,0,10,0.0,9
8542,5e6bb2b65f87134bc6854df6,qv36_c,first,pets,0,art,0,0.0,0.0,,0,0,0,17,0.0,9
8543,5e6bb344e7fba54c8c42aace,qv36_c,first,pets,0,art,0,0.0,0.0,,0,0,0,1,0.0,9
8544,5e6bb5d25f87134bc6854e03,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,0,0,5,0.0,9
8545,5e6bba82e7fba54c8c42aafb,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,0,0,10,0.0,9
8546,5e6bc1ac5f87134bc6854e53,qv36_c,first,pets,0,art,0,0.0,0.0,,10,0,10,35,0.2857142857142858,9
8547,5e6bc9dd5f87134bc6854e75,qv36_c,first,pets,2,art,1,3.0,0.08333333333333326,,5,0,5,10,0.5,9
8548,5e6bd41fe7fba54c8c42ab69,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,34,-34,35,-0.9714285714285714,9
8549,5e6bd8015f87134bc6854eb2,qv36_c,decrease,pets,2,art,3,-5.0,-0.13888888888888884,,1,1,0,35,0.0,9
