,userId,condition,topic_1,topic_1_val,topic_2,topic_2_val,donation_diff
0,5e62c4156ffda4487364f751,qv36,pets,0,art,0,0
1,5e640f2eae7e33fbc93cdd09,qv36,pets,0,art,0,0
2,5e64113fae7e33fbc93cdd10,qv36,pets,10,art,0,10
3,5e6488ec23530f5bd5b24194,qv36,pets,0,art,0,0
4,5e64adba54fc700d6d481f58,qv36,pets,5,art,0,5
5,5e64db6e8fa94cf0fc4d2da8,qv36,pets,0,art,0,0
6,5e64eeea15730e913ec09a2f,qv36,pets,0,art,0,0
7,5e64f7239472cb582b7b95cd,qv36,pets,0,art,0,0
8,5e6520fbb07dd22d67cbf0e7,qv36,pets,25,art,0,25
9,5e65b7944bf44833d0d2d9df,qv36,pets,10,art,0,10
10,5e663c7f4e03dda6b1aa364d,qv36,pets,1,art,0,1
11,5e665300eaa71621a7de99a4,qv36,pets,0,art,0,0
12,5e66931f64d96d0f05e1fee1,qv36,pets,0,art,0,0
13,5e66be8e6f15e952fff7f426,qv36,pets,0,art,0,0
14,5e679806cf42b30c2a2a92ab,qv36,pets,0,art,0,0
15,5e67984fd7fac4629a2d3a50,qv36,pets,0,art,10,-10
16,5e67e77601cfd97a4a60f99d,qv36,pets,0,art,0,0
17,5e680f034cb6e4474b63ab4f,qv36,pets,10,art,7,3
18,5e68175b4cb6e4474b63ab5d,qv36,pets,1,art,0,1
19,5e6836f197370349abe9e4eb,qv36,pets,0,art,0,0
20,5e68386f45f62f90eca9b0be,qv36,pets,15,art,0,15
21,5e683f2197370349abe9e4f3,qv36,pets,10,art,5,5
22,5e6847ac97370349abe9e4f7,qv36,pets,1,art,0,1
23,5e684a7d45f62f90eca9b0d9,qv36,pets,0,art,0,0
24,5e68970d97370349abe9e54d,qv36,pets,4,art,0,4
25,5e68bdd045f62f90eca9b145,qv36,pets,10,art,0,10
26,5e68e06645f62f90eca9b176,qv36,pets,0,art,0,0
27,5e690de245f62f90eca9b1a3,qv36,pets,5,art,5,0
28,5e690e5a97370349abe9e5de,qv36,pets,5,art,0,5
29,5e6974d17f3f6b78b44bd2c7,qv36,pets,0,art,0,0
30,5e69b9d65b4cc647876e37f0,qv36,pets,2,art,2,0
31,5e69bb4d5b4cc647876e37f2,qv36,pets,0,art,0,0
32,5e69d1455b4cc647876e3811,qv36,pets,0,art,0,0
33,5e69d22b5b4cc647876e3813,qv36,pets,0,art,0,0
34,5e69fc105b4cc647876e3846,qv36,pets,10,art,0,10
35,5e6a148e0f4ac1a30c21d661,qv36,pets,0,art,0,0
36,5e6a69e624a351b3373d8094,qv36,pets,0,art,0,0
37,5e6a76d09669a5e668ccf7ce,qv36,pets,0,art,0,0
38,5e6a89df9669a5e668ccf7e9,qv36,pets,5,art,0,5
39,5e6a99c39669a5e668ccf7ff,qv36,pets,3,art,3,0
40,5e6ab03024a351b3373d80df,qv36,pets,2,art,1,1
41,5e6ad97e24a351b3373d8104,qv36,pets,10,art,0,10
42,5e6ae5a19669a5e668ccf85a,qv36,pets,5,art,0,5
43,5e6b28d59669a5e668ccf892,qv36,pets,5,art,0,5
44,5e6bad49e7fba54c8c42aaa4,qv36,pets,1,art,0,1
45,5e6bae475f87134bc6854dd0,qv36,pets,0,art,0,0
46,5e6bb2b65f87134bc6854df6,qv36,pets,0,art,0,0
47,5e6bb344e7fba54c8c42aace,qv36,pets,0,art,0,0
48,5e6bb5d25f87134bc6854e03,qv36,pets,0,art,0,0
49,5e6bba82e7fba54c8c42aafb,qv36,pets,0,art,0,0
50,5e6bc1ac5f87134bc6854e53,qv36,pets,10,art,0,10
51,5e6bc9dd5f87134bc6854e75,qv36,pets,5,art,0,5
52,5e6bd41fe7fba54c8c42ab69,qv36,pets,0,art,34,-34
53,5e6bd8015f87134bc6854eb2,qv36,pets,1,art,1,0
54,5e6bed32e7fba54c8c42abaf,qv36,pets,0,art,0,0
55,5e6beda15f87134bc6854eeb,qv36,pets,0,art,0,0
56,5e6bf17b5f87134bc6854efe,qv36,pets,0,art,0,0
57,5e6bf1a75f87134bc6854f00,qv36,pets,0,art,5,-5
58,5e6bf850e7fba54c8c42abd8,qv36,pets,0,art,0,0
59,5e6bff66e7fba54c8c42abe8,qv36,pets,1,art,1,0
60,5e6c00dc5f87134bc6854f23,qv36,pets,3,art,2,1
61,5e6c0ea95f87134bc6854f49,qv36,pets,0,art,0,0
62,5e6c21995f87134bc6854f51,qv36,pets,0,art,0,0
63,5e6c4ce51b1ab957b9f0e81a,qv36,pets,8,art,0,8
64,5e6c84b21574cbb57f47bcb5,qv36,pets,20,art,10,10
65,5e6ce5c1edaf169ff3243e69,qv36,pets,0,art,0,0
66,5e6d32a6878130d7d979b3ac,qv36,pets,5,art,0,5
67,5e6d375bc91d66cc55114032,qv36,pets,5,art,0,5
68,5e6d3aaa878130d7d979b3be,qv36,pets,1,art,3,-2
69,5e6d4719878130d7d979b3de,qv36,pets,16,art,0,16
70,5e6d4a21878130d7d979b3e2,qv36,pets,0,art,0,0
71,5e6d5b54878130d7d979b3fa,qv36,pets,2,art,0,2
72,5e6d75b078f1e9809b6cc4aa,qv36,pets,0,art,0,0
73,5e6d75b72d83860302215fe1,qv36,pets,20,art,0,20
74,5e6d8ff2cadc6ed319c439ae,qv36,pets,5,art,0,5
75,5e7018f99e949d0e7a0191a2,qv36,pets,0,art,0,0
76,5e62c4156ffda4487364f751,qv36,pets,0,education,0,0
77,5e640f2eae7e33fbc93cdd09,qv36,pets,0,education,0,0
78,5e64113fae7e33fbc93cdd10,qv36,pets,10,education,0,10
79,5e6488ec23530f5bd5b24194,qv36,pets,0,education,2,-2
80,5e64adba54fc700d6d481f58,qv36,pets,5,education,0,5
81,5e64db6e8fa94cf0fc4d2da8,qv36,pets,0,education,0,0
82,5e64eeea15730e913ec09a2f,qv36,pets,0,education,0,0
83,5e64f7239472cb582b7b95cd,qv36,pets,0,education,0,0
84,5e6520fbb07dd22d67cbf0e7,qv36,pets,25,education,0,25
85,5e65b7944bf44833d0d2d9df,qv36,pets,10,education,0,10
86,5e663c7f4e03dda6b1aa364d,qv36,pets,1,education,0,1
87,5e665300eaa71621a7de99a4,qv36,pets,0,education,2,-2
88,5e66931f64d96d0f05e1fee1,qv36,pets,0,education,0,0
89,5e66be8e6f15e952fff7f426,qv36,pets,0,education,10,-10
90,5e679806cf42b30c2a2a92ab,qv36,pets,0,education,0,0
91,5e67984fd7fac4629a2d3a50,qv36,pets,0,education,0,0
92,5e67e77601cfd97a4a60f99d,qv36,pets,0,education,2,-2
93,5e680f034cb6e4474b63ab4f,qv36,pets,10,education,3,7
94,5e68175b4cb6e4474b63ab5d,qv36,pets,1,education,0,1
95,5e6836f197370349abe9e4eb,qv36,pets,0,education,5,-5
96,5e68386f45f62f90eca9b0be,qv36,pets,15,education,0,15
97,5e683f2197370349abe9e4f3,qv36,pets,10,education,0,10
98,5e6847ac97370349abe9e4f7,qv36,pets,1,education,1,0
