,userId,condition_vote,order,topic_1,topic_1_val_vote,topic_2,topic_2_val_vote,vote_diff,diff_dir_vote,condition_donation,topic_1_val_donation,topic_2_val_donation,donation_diff,diff_dir_donation,diff_dir_aligned,diff_dir_aligned_int
55,5e62c4156ffda4487364f751,qv324,increase,education,3,health,6,-3,lt0,qv36,0,0,0,eq0,True,1
56,5e62c4156ffda4487364f751,qv36,first,education,0,human,2,-2,lt0,qv36,0,0,0,eq0,True,1
57,5e62c4156ffda4487364f751,qv324,increase,education,3,human,5,-2,lt0,qv36,0,0,0,eq0,True,1
58,5e62c4156ffda4487364f751,qv36,first,education,0,international,0,0,eq0,qv36,0,0,0,eq0,True,1
59,5e62c4156ffda4487364f751,qv324,increase,education,3,international,6,-3,lt0,qv36,0,0,0,eq0,True,1
60,5e62c4156ffda4487364f751,qv36,first,education,0,veteran,1,-1,lt0,qv36,0,0,0,eq0,True,1
61,5e62c4156ffda4487364f751,qv324,increase,education,3,veteran,4,-1,lt0,qv36,0,0,0,eq0,True,1
62,5e62c4156ffda4487364f751,qv36,first,environment,5,faith,0,5,gt0,qv36,5,0,5,gt0,True,1
63,5e62c4156ffda4487364f751,qv324,increase,environment,13,faith,0,13,gt0,qv36,5,0,5,gt0,True,1
64,5e62c4156ffda4487364f751,qv36,first,environment,5,health,1,4,gt0,qv36,5,0,5,gt0,True,1
65,5e62c4156ffda4487364f751,qv324,increase,environment,13,health,6,7,gt0,qv36,5,0,5,gt0,True,1
66,5e62c4156ffda4487364f751,qv36,first,environment,5,human,2,3,gt0,qv36,5,0,5,gt0,True,1
67,5e62c4156ffda4487364f751,qv324,increase,environment,13,human,5,8,gt0,qv36,5,0,5,gt0,True,1
68,5e62c4156ffda4487364f751,qv36,first,environment,5,international,0,5,gt0,qv36,5,0,5,gt0,True,1
69,5e62c4156ffda4487364f751,qv324,increase,environment,13,international,6,7,gt0,qv36,5,0,5,gt0,True,1
70,5e62c4156ffda4487364f751,qv36,first,environment,5,veteran,1,4,gt0,qv36,5,0,5,gt0,True,1
